month,day,celebrity1,celebrity2,celebrity3
11,8,Gordon Ramsay - British chef,Bram Stoker - Irish author,Bonnie Raitt - American singer
11,9,Carl Sagan - American astronomer,Hedy Lamarr - Austrian actress,Nick Lachey - American singer
11,10,Martin Luther - German reformer,Richard Burton - Welsh actor,Ellen Pompeo - American actress
11,11,Leonardo DiCaprio - American actor,Demi Moore - American actress,Fyodor Dostoevsky - Russian novelist
11,12,Ryan Gosling - Canadian actor,Anne Hathaway - American actress,Grace Kelly - American actress
11,13,Whoopi Goldberg - American actress,Gerard Butler - Scottish actor,Robert Louis Stevenson - Scottish novelist
11,14,Claude Monet - French painter,King Charles III - British monarch,Jawaharlal Nehru - Indian statesman
11,15,Georgia O'Keeffe - American painter,Ed Asner - American actor,Chad Kroeger - Canadian singer
11,16,Maggie Gyllenhaal - American actress,Pete Davidson - American comedian,Lisa Bonet - American actress
11,17,Martin Scorsese - American director,Danny DeVito - American actor,RuPaul - American entertainer
11,18,Owen Wilson - American actor,Margaret Atwood - Canadian author,Alan Shepard - American astronaut
11,19,Jodie Foster - American actress,Meg Ryan - American actress,Adam Driver - American actor
11,20,Edwin Hubble - American astronomer,Bo Derek - American actress,Duane Allman - American guitarist
11,21,Björk - Icelandic singer,Goldie Hawn - American actress,Voltaire - French writer
11,22,Scarlett Johansson - American actress,Mark Ruffalo - American actor,Jamie Lee Curtis - American actress
11,23,Miley Cyrus - American singer,Boris Karloff - British actor,Harpo Marx - American comedian
11,24,Henri de Toulouse-Lautrec - French painter,Baruch Spinoza - Dutch philosopher,Katherine Heigl - American actress
11,25,Christina Applegate - American actress,Joe DiMaggio - American baseball player,Andrew Carnegie - American industrialist
11,26,Tina Turner - American singer,Charles Schulz - American cartoonist,Rita Ora - British singer
11,27,Bruce Lee - Martial arts actor,Jimi Hendrix - American guitarist,Bill Nye - American educator
11,28,Jon Stewart - American comedian,Ed Harris - American actor,William Blake - English poet
11,29,C.S. Lewis - British author,Louisa May Alcott - American novelist,Don Cheadle - American actor
11,30,Mark Twain - American author,Winston Churchill - British statesman,Ben Stiller - American actor
12,1,Bette Midler - American singer,Richard Pryor - American comedian,Janelle Monáe - American singer
12,2,Britney Spears - American singer,Lucy Liu - American actress,Maria Callas - American-Greek soprano
12,3,Ozzy Osbourne - British singer,Julianne Moore - American actress,Amanda Seyfried - American actress
12,4,Jay-Z - American rapper,Jeff Bridges - American actor,Tyra Banks - American model
12,5,Walt Disney - American animator,Little Richard - American singer,Conan Gray - American singer
12,6,Giannis Antetokounmpo - Greek basketball player,Judd Apatow - American filmmaker,Dave Brubeck - American jazz pianist
12,7,Larry Bird - American basketball player,Tom Waits - American singer,Sara Bareilles - American singer
12,8,Jim Morrison - American singer,Nicki Minaj - Trinidadian rapper,Diego Rivera - Mexican painter
12,9,Judi Dench - British actress,Kirk Douglas - American actor,John Malkovich - American actor
12,10,Emily Dickinson - American poet,Ada Lovelace - British mathematician,Raven-Symoné - American actress
12,11,Rita Moreno - American actress,Hailee Steinfeld - American actress,Nikki Sixx - American musician
12,12,Frank Sinatra - American singer,Jennifer Connelly - American actress,Bill Nighy - English actor
12,13,Taylor Swift - American singer,Jamie Foxx - American actor,Steve Buscemi - American actor
12,14,Vanessa Hudgens - American actress,Patty Duke - American actress,Nostradamus - French astrologer
12,15,Gustave Eiffel - French engineer,Don Johnson - American actor,Adam Brody - American actor
12,16,Jane Austen - English novelist,Arthur C. Clarke - British writer,Theo James - British actor
12,17,Sarah Paulson - American actress,Milla Jovovich - American actress,Eugene Levy - Canadian actor
12,18,Brad Pitt - American actor,Steven Spielberg - American filmmaker,Billie Eilish - American singer
12,19,Jake Gyllenhaal - American actor,Édith Piaf - French singer,Alyssa Milano - American actress
12,20,Jonah Hill - American actor,JoJo - American singer,Todd Phillips - American director
12,21,Samuel L. Jackson - American actor,Jane Fonda - American actress,Chris Evert - American tennis player
12,22,Ralph Fiennes - British actor,Meghan Trainor - American singer,Diane Sawyer - American journalist
12,23,Eddie Vedder - American singer,Finn Wolfhard - Canadian actor,Akihito - Japanese emperor
12,24,Ava Gardner - American actress,Ricky Martin - Puerto Rican singer,Louis Tomlinson - English singer
12,25,Sissy Spacek - American actress,Humphrey Bogart - American actor,Annie Lennox - British singer
12,26,Jared Leto - American actor,Kit Harington - British actor,Hugo Lloris - French footballer
12,27,Louis Pasteur - French chemist,Marlene Dietrich - German actress,Timothée Chalamet - American actor
12,28,Denzel Washington - American actor,Stan Lee - American writer,John Legend - American singer
12,29,Jude Law - British actor,Mary Tyler Moore - American actress,Ted Danson - American actor
12,30,LeBron James - American basketball player,Tiger Woods - American golfer,Rudyard Kipling - English writer
12,31,Anthony Hopkins - Welsh actor,Donna Summer - American singer,Val Kilmer - American actor
